date,title
OCTOBER 5 2024,Germany ‘reopens old wounds’ with border checks
OCTOBER 4 2024,German far-right politician accused of using forced labour at Belarus farm
OCTOBER 1 2024,EU policymakers lash out at Berlin’s Commerzbank ‘hypocrisy’
SEPTEMBER 30 2024,German inflation drops below 2% for first time since early 2021
SEPTEMBER 27 2024,VW issues second profit warning in three months on weaker sales
SEPTEMBER 26 2024,European heat pump sales tumble as subsidies shrink
,Top economists downgrade Germany’s growth forecasts
,BASF slashes dividend amid worsening German industrial gloom
SEPTEMBER 25 2024,Co-leaders of German Greens resign after election fiasco
SEPTEMBER 24 2024,Commerzbank picks Orlopp as new chief amid fight over potential UniCredit takeover
,Can Andrea Orcel be stopped from buying Commerzbank?
,"Deutschland, der Pechvogel"
SEPTEMBER 23 2024,Olaf Scholz says Germany opposes a Commerzbank takeover
,"Germany, political extremism and the risks to Ukraine"
SEPTEMBER 22 2024,Germany’s SPD holds off far right in Brandenburg election
,Commerzbank warns UniCredit merger is threat to German businesses
,Germany’s botched data revamp leaves economists ‘flying blind’
SEPTEMBER 20 2024,Britain and Germany are failing differently
SEPTEMBER 19 2024,Berlin ‘very sceptical’ about UniCredit move on Commerzbank
SEPTEMBER 18 2024,Germany’s SPD looks to halt rise of far right in its Brandenburg bastion
SEPTEMBER 17 2024,The FT foreign correspondents’ guide to business dining around the world
,German conservative leader Friedrich Merz says he will run for chancellor
,The questions over Commerzbank’s stake sale
,Musikfest Berlin kicks off capital’s season with mesmerising and inventive works
SEPTEMBER 16 2024,‘There would be no Wolfsburg without Volkswagen’: carmaker’s plans shake home town
,Berlin blindsided after JPMorgan asked UniCredit to bid for Commerzbank stake
SEPTEMBER 14 2024,Theaterkunst – the Berlin wardrobe where Hollywood gets into character
SEPTEMBER 13 2024,Germany should listen to Draghi
SEPTEMBER 12 2024,The woes of Olaf Scholz
SEPTEMBER 11 2024,Germany upsets its neighbours with border clampdown
,German union vows to fight UniCredit move on Commerzbank ‘tooth and nail’
SEPTEMBER 10 2024,VW ends three-decade job security pact in Germany
SEPTEMBER 9 2024,Germany extends temporary controls to all its land borders
SEPTEMBER 7 2024,Germans reel from an uncomfortable week politically and economically
SEPTEMBER 6 2024,The German far right and the scars of reunification
,Former VW boss Diess rejects union criticism of hybrid car strategy
SEPTEMBER 5 2024,Munich police shoot gunman outside Israeli consulate
,Why VW is seeking to break the taboo of closing German plants
SEPTEMBER 4 2024,Germany faces jobs crisis ‘of a thousand cuts’
,The hard-left Russophiles playing kingmakers in Germany
,"VW warns staff it has ‘a year, maybe two’ to adapt to lower demand"
SEPTEMBER 2 2024,The choice facing Germany’s far right: radicalism or power
,The far-right’s disturbing success in eastern Germany
,Victory for the AfD raises difficult questions about east Germany
,German chancellor reacts to ‘bitter’ far-right election victory
SEPTEMBER 1 2024,Germany’s far-right AfD makes history
,Far-right Alternative for Germany wins first regional election
,Populists prevail in eastern Germany as wounds of past remain raw
AUGUST 31 2024,France and Germany: clouds darken at the dawn of a new EU era
AUGUST 30 2024,Germany deports Afghans for first time since Taliban’s return to power
AUGUST 29 2024,"Far right risks economic ‘catastrophe’ for eastern Germany, business warns"
,Thyssenkrupp Steel executives quit amid tension over Křetínský approach
,Germany to cut benefits for refugees facing deportation
AUGUST 28 2024,The importance of a UK-German defence pact for EU military planning
,Populists poised for victory in east German polls as Scholz faces rout
,German chancellor Olaf Scholz urges talks on tougher immigration policy
,Starmer launches UK-German treaty bid in meeting with Scholz
AUGUST 26 2024,Why Germany’s stabbing attack has rekindled EU’s far-right fears
,Knife attack puts immigration top of German political agenda
AUGUST 25 2024,Man arrested over knife attack in German town of Solingen
AUGUST 22 2024,Ukraine is the victim in Germany’s botched budget debate
,German cruise ship builder Meyer Werft nears government rescue
AUGUST 21 2024,Germany’s far-left disrupter claims credit for limiting aid to Ukraine
AUGUST 19 2024,Germany’s economy: down but not quite out
,German finance minister under fire for Ukraine aid veto
AUGUST 18 2024,Symphonies and opera houses need to innovate as funding crunch bites
AUGUST 15 2024,How Germany’s ban on a far-right magazine backfired
AUGUST 14 2024,Germany’s steelmakers are caught in a tightening trap
,German police sealed off air base over sabotage fears
,Extremist surge in eastern Germany threatens a political earthquake
,Germany’s Rheinmetall in US defence push with $950mn acquisition
,Germany issues arrest warrant for Ukrainian over Nord Stream attacks
AUGUST 13 2024,Eurozone rate cut questioned as German wages soar
,Investor expectations plunge in Eurozone
AUGUST 12 2024,German investment in China soars despite Berlin’s diversification drive
AUGUST 2 2024,The behind-the-scenes deal to secure Evan Gershkovich’s freedom
JULY 31 2024,Germany blames China for ‘serious’ cyber attack
JULY 30 2024,German court backs government plans to curb number of lawmakers
JULY 29 2024,Bayreuth festival sticks to strengths as pressure to change mounts
JULY 25 2024,French and German falls in business confidence raise prospect of ECB cut
JULY 24 2024,Scholz says he will seek second term as German chancellor
,Germany shuts ‘Blue Mosque’ and bans Shia group for extremism
,Fall in German business activity drags down Eurozone economy
JULY 23 2024,Ex-directors allege fraud at Tether-backed crypto group Northern Data
,Germany agrees constitutional fixes to protect supreme court
JULY 21 2024,Isolated Germany fears a second Trump term
JULY 20 2024,Spy-linked Russians restart trade with German toolmaker
,The pillars of German security are shaking
JULY 18 2024,Serbia pledges lithium to European carmakers
JULY 16 2024,Is Germany the ‘sick man’ of Europe once again?
JULY 14 2024,European cannabis companies start IPO planning as US considers looser rules
JULY 12 2024,Russia believed to be behind plot to kill European defence boss
JULY 11 2024,A vast Nazi bunker reopens as a hotel and ‘gastronomy hub’
,Angela Merkel’s imagined new career as a detective hits Italian screens
,Germany orders ban on Chinese companies from its 5G network
JULY 10 2024,Europe braced for a weakened Macron
,German far right forms own group in European parliament
JULY 8 2024,German defence minister deplores meagre military spending
JULY 5 2024,Scholz unveils budget after tensions inside German coalition
JULY 4 2024,The beautiful game in ugly times — a Euro 2024 journey
JULY 3 2024,Germany vetoes sale of sensitive turbine unit to Chinese group
JULY 2 2024,Deutsche Bahn struggles to shake off ‘travel hell’ reputation
JULY 1 2024,German businesses break with postwar taboo to supply defence sector
,Bundesbank chief calls for German tax cuts to boost investment
,"Le Grand Macabre, Munich — apocalypse almost now in soup of sex, booze and kink"
JUNE 29 2024,Germany’s AfD hopes for far-right victory in France
JUNE 28 2024,"Meeting my floral foster family, 60 years on"
JUNE 26 2024,Swastikas and jackboots: an emboldened far right visits Buchenwald
JUNE 25 2024,New German citizens must acknowledge Israel’s right to exist
JUNE 21 2024,German exports to China drop as trade tensions rise
JUNE 18 2024,Germany warns of Moscow-style terror attacks
JUNE 17 2024,EU leaders request more time to reach deal on bloc’s top officials
,German union unleashes battle over pay by demanding 7% wage rise
JUNE 15 2024,Election exposes paradoxical reactions to open EU borders
JUNE 13 2024,Budget stand-off pushes German coalition to brink
,What investors should learn from a Berlin housing saga
JUNE 12 2024,"Germany, Russia and my grandmother"
,Greens to back Ursula von der Leyen if she revives climate policies
,Hot property: five homes for sale in Germany
,Germany to launch limited military service in push to be ‘war ready’
JUNE 10 2024,German far right expels SS apologist from European parliament caucus
,Scholz dismisses demands for early German election after EU poll rout
,Far right makes significant gains in European parliament elections
JUNE 9 2024,German coalition attacks ‘beer tent’-style speech by Deutsche Börse chief
JUNE 8 2024,An insider’s account of the AfD: ‘The wrong people stayed’
JUNE 7 2024,"Anna Uddenberg’s sculptures of seduction, submission and control"
JUNE 6 2024,"Private equity gets ‘low, low, low’ in Berlin"
,Private equity bosses warn of lower returns
,Germany to deport Afghans and Syrians convicted of serious crimes
JUNE 4 2024,Court suspends arrest warrant after Windhorst agrees to attend hearing
,Germany leads rebellion against EU foreign influence law
JUNE 3 2024,German policeman’s killing deepens political chasm ahead of EU vote
MAY 31 2024,Germany’s fractious coalition dithers as the heat rises in Europe
MAY 30 2024,Germany’s mature democracy must beat the far right without banning it
MAY 29 2024,Rheinmetall to sponsor Borussia Dortmund in sign of shifting German attitudes to defence
MAY 28 2024,How the far right is winning over young Europeans
,"Lady Macbeth of Mtsensk, Oper Leipzig — sonic sex and violence at full blast"
MAY 27 2024,"No, trade surpluses aren’t caused by comparative advantage"
,Scandals deprive Germany’s AfD of breakthrough in local polls
MAY 26 2024,Bayer Leverkusen success hailed as chance to boost Bundesliga’s global appeal
MAY 23 2024,EU’s far-right bloc expels Germany’s AfD
MAY 22 2024,"Kathleen Ryan, Hamburg — a dreamworld of bowling balls and bejewelled fruit"
,Surging German wage growth casts doubt on timing of ECB rate cuts
,Germany’s far right in turmoil after its top candidate defends SS
MAY 21 2024,Trial of German plotters lifts curtain on QAnon-style conspiracy
MAY 18 2024,AfD lead candidate in EU election attacks western ‘paranoia’ on China
MAY 16 2024,Germany probes far-right MP accused of taking Russian bribes
MAY 15 2024,Germany still has much to do to fix corporate governance shortcomings
MAY 14 2024,AfD leader in Thuringia convicted of deliberately using Nazi slogan
MAY 13 2024,Berlin explores tax breaks to get Germans working longer hours
,European leaders need to wake up — the world has changed
,German court says AfD is ‘suspected extremist’ organisation
MAY 11 2024,Will Friedrich Merz finally become Germany’s next chancellor?
MAY 8 2024,Neu Klang — ‘krautrock’ in the bands’ own words
MAY 6 2024,How Germany’s CDU is tacking rightward post-Merkel
,"Germany partly to blame for Brexit, says CDU leader"
MAY 5 2024,A warning from the breakdown nations
MAY 3 2024,Germany denounces Russia for cyber attack on Olaf Scholz’s party
,Marine Le Pen grows wary of ‘crazy’ German far right
MAY 2 2024,Births in Germany fall to lowest for a decade
APRIL 30 2024,What’s on in Frankfurt: an FT Globetrotter guide
,Top UN court rejects Nicaragua’s call to block German support for Israel
,Germany propels eurozone growth to 0.3%
,"Le nozze di Figaro, Komische Oper Berlin — art, abs and gags"
APRIL 29 2024,Germany’s ‘Trojan horse’ scandal rocks AfD
,Scandals hurt the far right less than its opponents hope
,Sticky German inflation curbs investors’ ECB rate cut expectations
,"Intermezzo, Deutsche Oper Berlin — infidelity and hilarity"
,Nine accused of violent coup plot face treason trial in Germany
APRIL 28 2024,‘Honeypots’ and influence operations: China’s spies turn to Europe
APRIL 27 2024,Europe’s hard-right parties differ in important ways
APRIL 26 2024,Len Blavatnik’s DAZN threatens to sue German football league over TV rights auction
APRIL 24 2024,Germany raises forecasts on boost to outlook for industry and consumers
,German far right tries to brush off spy scandals
APRIL 23 2024,Eurozone business activity rises to 11-month high
,German staffer in EU parliament arrested on China spying charges
APRIL 22 2024,German tax fraud prosecutor resigns in unexpected move
,Germany accuses couple of spying for China
APRIL 18 2024,Germany arrests suspected Russian spies over bombing plot
,A glimpse of the Brexit debate of the future
,Germany’s doomed China strategy
APRIL 17 2024,Germany urges dozens of allies to send air defence systems to Ukraine
APRIL 16 2024,Xi says China’s exports are helping to ease global inflation
APRIL 13 2024,"German companies’ dependence on China will last decades, warns Siemens"
APRIL 9 2024,"German industry unlikely to fully recover from energy crisis, warns RWE boss"
,German far-right backs candidate accused of taking Russian money
APRIL 8 2024,Germany’s historic step of sending troops to Lithuania
,"Cabaret star Ute Lemper: ‘I felt like an outcast, but I had my music to escape’"
,Nicaragua takes Germany to court over ‘facilitating genocide’ in Gaza
,German factory production expands at fastest rate for a year
APRIL 4 2024,"Germany’s robotic stores must rest on Sundays, too"
,German far-right politician denies taking Russian money
,Germany considers revival of national service in ‘landmark’ military reforms
APRIL 2 2024,Southern growth spurt creates two-speed eurozone economy
,Fall in German inflation boosts hopes of ECB rate cut
MARCH 31 2024,"Russian disinformation on Ukraine has grown in scale and skill, warns Berlin"
MARCH 28 2024,German historians accuse Scholz’s SPD of appeasing Russia
,The Eastern Front by Nick Lloyd — truth bombs
MARCH 27 2024,Economic experts slash growth forecasts for Germany
MARCH 22 2024,France and Germany reach ‘breakthrough’ on joint tank plans
,Germany takes a page from US playbook with new climate subsidy
MARCH 21 2024,German national football team ends 77 years of sponsorship with Adidas
,Germany’s taboo over Ukraine has been broken
,Beauty retailer Douglas’s shares drop 9% in underwhelming Frankfurt IPO
MARCH 20 2024,How Germany got too tough on insider trading
MARCH 19 2024,Germany announces €500mn package to bolster Ukraine’s artillery stocks
MARCH 15 2024,Macron and Scholz meet to patch up their fraying ties
MARCH 14 2024,Why Tusk could help mend the Franco-German relationship
,Italy’s bond spread sinks to 2-year low as economy outshines Germany
MARCH 13 2024,Germany’s Bundestag vows action after scores of extremists given access
,Germany’s ‘Staatsräson’ casts a long shadow on Israel and Gaza
,Deutsche Pfandbriefbank’s US property woes are coming to Europe
MARCH 12 2024,"Germany does not expect unemployment jump, says labour chief"
,"German military still faxes documents and cannot radio allies, official warns"
,ECB to leave original Frankfurt home next year
,Bavarian State Opera’s Die Passagierin — radically revised Holocaust opera is lean and powerful
MARCH 8 2024,The fight for Germany’s ‘memory culture’
MARCH 7 2024,Americans are still sweeter on stuff than before the pandemic. How long can it last?
MARCH 5 2024,Europe’s damaging divisions over military aid to Ukraine
,Germany to create €200bn fund to support strained pension system
,Germany blames individual error for Russia’s intercept of military call
MARCH 4 2024,Scholz left reeling by leaks on missiles for Ukraine
,German ex-football officials on trial over suspicious 2006 World Cup payments
,"Germany, France and how not to do deterrence"
MARCH 4 2024,Germany dismisses Russia’s claim it is preparing attack as ‘absurd propaganda’
MARCH 3 2024,Why app developers think the EU’s first ever Apple fine is ‘a joke’
MARCH 2 2024,Scholz promises inquiry after Russia publishes tapped military discussions
FEBRUARY 28 2024,How Franco-German animosity is hampering the EU’s Ukraine arms fund
,Germany and Italy torpedo EU supply chain law
FEBRUARY 27 2024,Germany rebuffs Macron on troops for Ukraine
FEBRUARY 26 2024,Germany cools on Russian prisoner swap after Navalny death
FEBRUARY 25 2024,"Israel-Hamas war boosts German investor interest in defence sector, says Renk chief"
FEBRUARY 23 2024,"Luna Luna, long-forgotten art amusement park, is revived with a little help from Drake"
,Germany legalises cannabis for personal use
,Bundesbank burns through more than €20bn to cover huge losses
,BASF extends cost cuts by €1bn as demand for chemicals falls
FEBRUARY 22 2024,Tesla forced back to drawing board over German expansion plans
,"Eurozone downturn eases despite German factory decline, survey finds"
FEBRUARY 21 2024,Hedge funds bet against German lender over US real estate exposure
,German coalition split over remedies for economic gloom
,Germany’s political fragmentation ‘frighteningly similar’ to 1930s
FEBRUARY 20 2024,German lawmakers twist Scholz’s arm on long-range missiles for Kyiv
FEBRUARY 19 2024,"German economy to keep shrinking, Bundesbank warns"
FEBRUARY 18 2024,German companies flock to US with record pledges of capital investment
,Sport and the city: staying fit in Frankfurt
,Fortescue chair slams Germany for U-turn on EU supply chain rules
FEBRUARY 15 2024,EU partners lose trust in Berlin after policy U-turns
,Will Germany deliver on its grand military ambitions?
FEBRUARY 14 2024,Will Germany lead Nato?
FEBRUARY 13 2024,Investors upbeat about economic rebound in Germany this year
FEBRUARY 12 2024,Why Poland’s Donald Tusk is mending EU ties
FEBRUARY 10 2024,Banning Germany’s AfD misses the point
FEBRUARY 9 2024,Luisa Dames’ guide to Berlin
FEBRUARY 8 2024,Deutsche Börse chief ‘deeply concerned’ about rise of German far right
,Rosneft warns Berlin over plan to nationalise its German assets
FEBRUARY 6 2024,Wirecard trial’s chief prosecution witness released from jail
FEBRUARY 5 2024,Scholz’s energy policies branded ‘toxic’ by German business chief
FEBRUARY 4 2024,German opposition to reform of EU fund risks delaying arms to Ukraine
,Will Chinese prices suffer new year hangover?
FEBRUARY 1 2024,German liberals pull plug on EU law to prevent supply chain abuses
JANUARY 31 2024,Germans push back against extremist AfD
,Former German spy chief investigated for rightwing extremism
,"AfD ‘Dexit’ move would destroy Germany’s wealth, says chancellor"
,"Ex-Perella Weinberg banker shared inside information for 15 years, court told"
,Germany’s moderate middle is back in a volatile political age
JANUARY 30 2024,Freshfields’ former tax partner sentenced to 3½ years in jail
,Eurozone economy flatlines in fourth quarter
,"German debt brake ‘too rigid’, say government advisers"
JANUARY 29 2024,"Germany needs to get tougher on Israel, says former Merkel adviser"
,Berlin’s KaDeWe store files for insolvency as Signa empire crumbles
JANUARY 28 2024,German far right defeated in regional election
JANUARY 27 2024,Germany’s new far-left party calls for an end to the Ukraine war
JANUARY 25 2024,The faltering German economy
JANUARY 24 2024,Germany still needs to learn from Wirecard on whistleblowers
JANUARY 24 2024,German rail network at near standstill as drivers begin six-day strike
JANUARY 23 2024,Investors pile into peripheral eurozone bonds in hunt for yield
,Germany’s top court paves way for financing ban on extremist parties
JANUARY 22 2024,Sport and the city: an exercise guide to NYC
,Storm clouds gather across Europe
,"Ex-Freshfields tax chief should be spared prison, his lawyer says"
JANUARY 21 2024,German far-right leader hails Brexit as ‘model for Germany’
,A Modernist Berlin masterpiece in light and steel
,Large protests in Germany against far-right political party
JANUARY 20 2024,German car suppliers struggle to adjust to EV shift
,Germany treads a delicate path on China
JANUARY 19 2024,Martin Sellner: Austrian extremist stirs up political storm in Germany
,German chemicals sector suffers from weak Chinese demand
,Signa group’s flagship German project falls into bankruptcy
,"Germany is the ‘tired man’ of Europe, says finance minister"
,Germany eases rules for foreigners seeking citizenship
JANUARY 18 2024,German union pay demand of 21% raises inflation fears
,German car parts suppliers plan job cuts amid costly EV transition
,Germany should go big on nuclear fusion energy
JANUARY 17 2024,Fractious German coalition lurches from crisis to crisis
,The lengths Berlin renters will go to in order to find a home
JANUARY 15 2024,Germany was worst-performing major economy last year
,Prosecutors call for 5-year jail term for former Freshfields partner
JANUARY 13 2024,German insolvencies set to rise as Covid aid ends and economy stagnates
JANUARY 11 2024,German chancellor weighs in on far-right ‘remigration’ ideas
JANUARY 10 2024,Start of train drivers’ strike adds to German transport disruption
JANUARY 8 2024,Plant-based spread maker tries move into paper-based tubs
,Germany lifts objection to sending Eurofighter jets to Saudi Arabia
,German farmers’ protests deepen woes of Scholz government
,EU approves €902mn in German state aid for battery maker Northvolt
,"Silver balls, rippling water and sniggers in The Timeless Moment at the Staatsoper Berlin — review"
JANUARY 5 2024,Protest against German vice-chancellor shocks political class
,El Niño heralds turbulent start to 2024
JANUARY 4 2024,German emissions fall by a fifth amid stagnant industrial output
,German inflation rises to 3.8% in blow to rate-cut hopes
JANUARY 2 2024,Listener mailbag with Martin Wolf & more
DECEMBER 31 2023,"Debt, guilt and Swabian housewives: debate on German borrowing rule heats up"
DECEMBER 30 2023,Berlin rolls out record police presence for New Year’s Eve
DECEMBER 28 2023,Merz holds the future of the German centre-right in his hands
DECEMBER 27 2023,German budget woes trigger disaster warnings for restaurants
,"Wolfgang Schäuble, German statesman, 1942-2023"
,"Wolfgang Schäuble, former German finance minister, dies at 81"
DECEMBER 25 2023,Porsche reckons with history of forgotten Jewish co-founder
DECEMBER 21 2023,Economists warn fiscal squeeze to hit eurozone next year
,Schaeffler CEO warns of concerns beyond Germany over Berlin pulling green funding
DECEMBER 20 2023,Germany moves to seize €720mn of Russian group’s assets
DECEMBER 19 2023,German banker’s diaries add to Scholz’s political woes
,Berlin to rerun parts of federal election after chaos-hit vote
,"Mary, Queen of Scots, Oper Leipzig — medieval monarch gets steampunk makeover"
DECEMBER 18 2023,Ex-Freshfields partner on trial for tax fraud takes ‘full responsibility’ for errors
DECEMBER 18 2023,Fall in German business sentiment points to a contracting economy
,German far-right party makes electoral breakthrough
DECEMBER 17 2023,"UK, Germany and France step up calls for Israel to agree Gaza ceasefire"
DECEMBER 15 2023,Eurozone business activity declines at steeper rate than expected
DECEMBER 14 2023,Germany and Netherlands detain four over alleged Hamas plot
DECEMBER 13 2023,German model of union power faces new test
,Media/tech: AI experiments will not rebalance one-sided relationship
,Germany agrees budget deal to plug €17bn hole after debt ruling
DECEMBER 12 2023,Germany charges 27 for plotting armed coup with Russia links
DECEMBER 11 2023,German football clubs vote to back private equity investment
DECEMBER 9 2023,European officials warn of higher terror risk over holiday season
DECEMBER 7 2023,Rome whips up storm over Hitler’s favourite ancient statue
DECEMBER 4 2023,Germany’s budget crisis threatens chipmaking ambitions
,German companies cut investment plans as economic gloom deepens
,Ex-Freshfields partner ‘highly likely’ to be convicted in tax scandal
DECEMBER 3 2023,Island strife: Greece serves Germany a dose of its own medicine 
NOVEMBER 30 2023,Germany to pay into climate funds despite budget crisis
NOVEMBER 29 2023,OECD pushes back against expectations of interest rate cuts
,Falling German and Spanish inflation raises hopes of ECB rate cuts
NOVEMBER 28 2023,Operatic miniatures in Berlin are innovative takes on chamber music
,Scholz sticks to Germany transition plans despite budgetary hole
NOVEMBER 27 2023,Court ruling leaves Scholz’s legacy in tatters
,Volkswagen executives warn works council of job cuts
,Germany’s overzealous debt brake
NOVEMBER 25 2023,"Germany faces threat of creeping deindustrialisation, warns steel boss"
NOVEMBER 23 2023,Germany to suspend borrowing limits for fourth year after debt brake ruling
,How Germany’s ‘debt brake’ broke the budget
NOVEMBER 22 2023,German parliament cancels 2024 budget vote amid political crisis
,"Médée, Berlin Staatsoper — Magdalena Kožená is a force of nature as the mythical child-murderer"
NOVEMBER 21 2023,US and Germany risk owning Ukraine’s stalling war effort
,Germany freezes new budget spending after top court ruling
NOVEMBER 20 2023,"German debt brake ruling could doom energy crisis fund, says Habeck"
NOVEMBER 19 2023,Middle East conflict restarts German debate on selling jets to Saudi Arabia
NOVEMBER 18 2023,Berlin is hoist with its own legalistic petard
NOVEMBER 17 2023,German ruling deals blow to EU spending plans
NOVEMBER 16 2023,Differences over Israel-Hamas war cloud Erdoğan visit to Berlin
,Germany raids ‘anti-Israel’ Muslim organisations
,Germany’s top court puts ‘debt brake’ on Scholz coalition
NOVEMBER 15 2023,German top court strikes down €60bn off-budget climate fund
,Germany’s ‘ultimate Putin expert’ took secret payments from Russia
NOVEMBER 14 2023,TAG/German residential: valuations pile pressure on oversized balance sheets
,Investors raise hopes of economic rebound in Germany
,Court threatens to blow €60bn hole in German budget over off-balance sheet funds
NOVEMBER 13 2023,German charged with smuggling kit used to make sniper rifles to Russia
NOVEMBER 11 2023,German homebuilding collapse threatens wider economic damage
NOVEMBER 10 2023,German chancellor Olaf Scholz admits uncertainty over defence spending
NOVEMBER 9 2023,Germany agrees tax subsidies for industry worth up to €28bn by 2028
NOVEMBER 8 2023,Key notes: a big hotel launch in the Bavarian capital
,German arms exports to Israel surge as Berlin backs campaign against Hamas
NOVEMBER 7 2023,"Why Brussels is seething at Italy, Germany and Austria’s migrant plans"
NOVEMBER 7 2023,"France, Germany and Italy boost funding for Ariane 6 rocket programme"
,Scholz hails Germany’s ‘historic’ clampdown on illegal immigration
NOVEMBER 6 2023,Olaf Scholz seeks ‘pact for Germany’ to stave off far right
NOVEMBER 4 2023,New German party defies conventional labels
NOVEMBER 3 2023,"Politicians, publishers and the risks of plagiarism"
NOVEMBER 2 2023,Rise in German unemployment points to cracks in EU labour market
,Germany bans Hamas-linked groups
NOVEMBER 1 2023,‘Hitler wine’ part of investigation into German far-right politician
OCTOBER 31 2023,Germany’s liberals under pressure to pull out of ruling coalition
OCTOBER 30 2023,German inflation drops to 28-month low as prices slow across Europe
,Germany arrests far-right politician for possession of Nazi material
OCTOBER 26 2023,German union boss takes the helm: ‘not everything will stay the same’
,Rachel Reeves plagiarism row puts publishers under scrutiny
OCTOBER 25 2023,Germany to tighten immigration rules amid rising support for far-right
OCTOBER 24 2023,British cargo ship Verity sinks after North Sea collision
OCTOBER 23 2023,The region at the heart of Germany’s economic stagnation
,New leftist anti-immigration party to challenge Germany’s far right
OCTOBER 22 2023,Why the EU needs to join the dots between Israel and Ukraine
OCTOBER 20 2023,Record fall in German producer prices points to ‘big drop’ in inflation
OCTOBER 18 2023,Israel-Hamas war hits close to home for Europe’s Muslims
OCTOBER 15 2023,Israel-Hamas war unleashes wave of antisemitism in Europe
OCTOBER 14 2023,The nuclear dispute driving a wedge between France and Germany
OCTOBER 12 2023,Relations between Warsaw and Berlin deteriorate as Polish elections near
,Germany promises military aid to Israel to avoid ‘apocalyptic’ conflict
OCTOBER 11 2023,The alarming rise of Germany’s far right
OCTOBER 11 2023,"In Search of Berlin by John Kampfner — the good, the bad and the ugly"
,Germany calls for more immigrants to fix its shrinking economy
,"Inside Other Spaces, Haus der Kunst — female pioneers of installation art finally get their due"
OCTOBER 9 2023,EU to review development funding for Palestinian territories
,‘Go west’: far-right German party breaks out of eastern strongholds
,German voters give government parties a drubbing in state elections
OCTOBER 8 2023,Macron and Scholz try to repair the EU’s Franco-German engine
OCTOBER 7 2023,France urges swift deal on EU power reform to counter US subsidies
OCTOBER 6 2023,"Aida, Staatsoper Berlin — clowns, fruit and fur coats cannot hide bad singing"
OCTOBER 5 2023,Green-bashing in Bavaria: German parties face voters’ reckoning
OCTOBER 3 2023,Germany seeks ‘grand bargain’ with France over energy
,Germany becomes scapegoat in Poland’s bitter election campaign
,"Hemmerle, the pearl of Munich"
OCTOBER 2 2023,Creaking Franco-German tandem delays EU decisions
,Rating the ESG raters
,Elon Musk wades into German-Italian migration spat
OCTOBER 1 2023,Frankfurt prosecutors charge German citizen with insider trading
,German manufacturers resist trade tensions in China’s Mittelstand enclave
