date,title
"Mon, Nov 4, 2024, 8:43 AM",Global stocks lacklustre as investors scale back bets on Trump election win
"November 1, 2024",Wall Street Set to Open Higher Friday; Unemployment Rate Unchanged at 4.1%
"November 1, 2024","FTSE 100, European and US markets up despite jobs report miss"
"Thu, Oct 31, 2024, 6:06 AM","Wall Street Set to Open Lower Thursday; Inflation Data Meets Expectations, Initial Jobless Claims Decline"
"Thu, Oct 31, 2024, 9:38 AM",Wall Street follows FTSE lower as traders mull US PCE inflation data and UK budget aftermath
"October 30, 2024",European Equities Close Sharply Lower in Wednesday Trading; UK Forecasts Higher GDP
"October 30, 2024",Earnings Season Blunts European Bourses Midday
"October 30, 2024",FTSE 100 lower after UK budget raises taxes by £40bn and US markets cautiously higher on GDP data
"October 29, 2024",Earnings Nudge European Bourses Into Green
"October 29, 2024","FTSE 100, European stocks lower and US mixed as earnings season hits stride"
"October 28, 2024",Oil Outlook Tempers European Bourses Midday
"October 28, 2024",FTSE bounces back ahead of budget and Wall Street pushes higher
"October 25, 2024",Nasdaq hits record high as US consumer sentiment rises ahead of presidential election
"Thu, Oct 24, 2024, 8:30 AM",Wall Street mixed and FTSE rises as US private sector businesses confidence soars
"October 23, 2024",European Equities Close Lower in Wednesday Trading; European Consumer Confidence Rises
"October 23, 2024",Global stocks fall as traders look ahead to US presidential election and UK budget
"October 22, 2024","Wall Street Set to Open Lower as Investors Await Earnings Report, Harker Speech"
"October 22, 2024",European Stocks Down Broadly on Earnings Worries
"October 22, 2024",Wall Street follows FTSE lower despite IMF declaring global battle against inflation 'largely won'
"October 21, 2024","Stocks Are Strong, the Economy Is Weak in Europe’s Powerhouse. How U.S. Investors Can Capitalize."
"October 21, 2024","Earnings Season, Asian Outlook Dampen European Bourses Midday"
"October 21, 2024","Morning Bid: Holding stock records, with a golden hedge"
"Mon, Oct 21, 2024, 6:44 AM","FTSE 100, Europe and US markets lower as earnings take centre stage"
"October 20, 2024",Morning Bid: SAP sets the tone
"October 18, 2024","China, ECB, Ceasefire Outlooks Elevate European Bourses Midday"
"October 18, 2024",FTSE 100 down and US indices mixed as tech stocks lead Nasdaq rally
"October 17, 2024",Wall Street hovers near records as chipmakers soar
"October 17, 2024",European Equities Close Higher in Thursday Trading; European Central Bank Cuts Rates Again
"October 17, 2024","Tech Outlook, Expected ECB Rate Cut Lift European Bourses Midday"
"October 17, 2024",Global stocks rise as US retail sales climb more than expected and ECB cuts interest rates
"October 16, 2024",Wall Street muted and FTSE higher as traders weigh up UK inflation data and US earnings
"October 15, 2024","China Economic Outlook, Oil Prices Limit European Bourses Midday"
"October 15, 2024",FTSE 100 and US stocks mixed as ASML stock plunges at European market close
"October 14, 2024",China Outlook Muffles European Bourses Midday
"October 14, 2024",US and European stocks rise with earnings in focus
"October 14, 2024",European stocks mixed; Chinese stimulus and ECB meeting in focus
"October 11, 2024","Earnings, Central Bank Views Nudge European Bourses Higher Midday"
"October 11, 2024",FTSE 100 and US markets in the green as investors look to big bank earnings
"October 10, 2024","Geopolitical Tensions, US Inflation Outlook Damp European Bourses Midday"
"October 10, 2024",Global stocks fall as US inflation comes in stronger than expected at 2.4%
"October 9, 2024",European Equities Close Higher Wednesday; Germany Downgrades Economic Forecast
"October 9, 2024","German Exports, Central Bank Outlook Lifts European Bourses Midday"
"October 9, 2024",Wall Street and FTSE rise as investors await US Fed minutes
"Tue, Oct 8, 2024, 9:13 AM",European Equities Close Mostly Lower in Tuesday Trading; Bundesbank President Doesn't Rule Out ECB Rate Cut
"October 8, 2024","Geopolitics, Asian Stock-Market Turmoil Damp European Bourses Midday"
"October 8, 2024","FTSE 100 down, US up as tech stocks begin to regain lost ground"
"October 7, 2024",Wall Street stumbles as investors question Fed rate cuts
"Mon, Oct 7, 2024, 4:46 AM","Middle East Tensions, Oil Prices Cap European Bourses Midday"
"October 7, 2024","FTSE 100 up, US markets slip as traders look to inflation data, earnings season"
"October 4, 2024",European Equities Close Mixed in Friday Trading; EU Votes to Levy Tariffs on EVs From China
"October 4, 2024","Oil, US Jobs Outlooks Cap European Bourses Midday"
"October 4, 2024",FTSE 100 and US markets higher as US jobs data smashes expectations
"Thu, Oct 3, 2024, 9:00 AM",European Equities Close Lower in Thursday Trading; Eurozone Business Activity Falls Into Contraction
"October 3, 2024",Wall Street Set to Open Lower Thursday; Weekly Initial Jobless Claims Rise Higher Than Expected
"October 3, 2024","Oil, Geopolitics Dampen European Bourses Midday"
"October 3, 2024",Stocks slump as US service sector growth fails to offset escalating tensions in Middle East
"October 2, 2024","Oil, Middle East Outlooks Cap European Bourses Midday"
"October 2, 2024",Wall Street and FTSE rise as traders weigh up US jobs data and Middle East conflict
"October 1, 2024",Traders Anticipate Data Deluge as US Equity Futures Waver Pre-Bell
"October 1, 2024",Soft inflation Report Lifts European Bourses Midday
"Tue, Oct 1, 2024, 3:10 AM",Eurozone inflation estimate falls below ECB's 2% target in September
"October 1, 2024",FTSE mixed and US stocks down as traders look to jobs report for rate clues
"September 30, 2024","Trending tickers: Tesla, Aston Martin, CVS, Alibaba"
"September 30, 2024",FTSE slides as US stocks end big quarter at records
"September 27, 2024","China, Japan Outlooks Lift European Bourses to Record Highs"
"September 27, 2024",S&P 500: Dip-Buying Remains the Go-To Strategy If Next Resistance Proves Stubborn
"September 27, 2024",Wall Street and FTSE push higher as key Fed inflation gauge falls to 2.2%
